Store_Id,Store_Name,City,City_Latitude,City_Longitude,Store_Type,Opening_Date,Year,Month,Day
STR058,Detroit Regular #58,Detroit,42.3314,-83.0458,Regular,2022-03-11,2022,3,11
STR059,San Antonio Superstore #59,San Antonio,29.4241,-98.4936,Superstore,2017-02-06,2017,2,6
STR060,Charlotte Regular #60,Charlotte,35.2271,-80.8431,Regular,2019-01-17,2019,1,17
STR061,San Jose Regular #61,San Jose,37.3382,-121.8863,Regular,2024-07-14,2024,7,14
STR062,Nashville Superstore #62,Nashville,36.1627,-86.7816,Superstore,2021-05-22,2021,5,22
STR063,San Antonio Regular #63,San Antonio,29.4241,-98.4936,Regular,2020-08-22,2020,8,22
STR064,Houston Express #64,Houston,29.7604,-95.3698,Express,2021-10-16,2021,10,16
STR065,Detroit Regular #65,Detroit,42.3314,-83.0458,Regular,2023-03-20,2023,3,20
STR066,Charlotte Regular #66,Charlotte,35.2271,-80.8431,Regular,2022-08-12,2022,8,12
STR067,Houston Express #67,Houston,29.7604,-95.3698,Express,2017-09-09,2017,9,9
STR068,San Antonio Superstore #68,San Antonio,29.4241,-98.4936,Superstore,2015-12-02,2015,12,2
STR069,Las Vegas Regular #69,Las Vegas,36.1699,-115.1398,Regular,2018-06-20,2018,6,20
STR070,San Jose Regular #70,San Jose,37.3382,-121.8863,Regular,2018-01-15,2018,1,15
STR071,Louisville Superstore #71,Louisville,38.2527,-85.7585,Superstore,2017-07-12,2017,7,12
STR072,Jacksonville Superstore #72,Jacksonville,30.3322,-81.6557,Superstore,2024-02-12,2024,2,12
STR073,Austin Regular #73,Austin,30.2672,-97.7431,Regular,2023-07-08,2023,7,8
STR074,Detroit Regular #74,Detroit,42.3314,-83.0458,Regular,2018-06-18,2018,6,18
STR075,San Antonio Express #75,San Antonio,29.4241,-98.4936,Express,2021-07-12,2021,7,12
STR076,New York Superstore #76,New York,40.7128,-74.006,Superstore,2019-03-11,2019,3,11
STR077,Louisville Regular #77,Louisville,38.2527,-85.7585,Regular,2023-11-11,2023,11,11
STR078,Dallas Regular #78,Dallas,32.7767,-96.797,Regular,2019-10-05,2019,10,5
STR079,Philadelphia Regular #79,Philadelphia,39.9526,-75.1652,Regular,2018-01-05,2018,1,5
STR080,Dallas Regular #80,Dallas,32.7767,-96.797,Regular,2017-11-06,2017,11,6
STR081,New York Superstore #81,New York,40.7128,-74.006,Superstore,2020-09-06,2020,9,6
STR082,Jacksonville Superstore #82,Jacksonville,30.3322,-81.6557,Superstore,2017-12-29,2017,12,29
STR083,Las Vegas Superstore #83,Las Vegas,36.1699,-115.1398,Superstore,2020-11-21,2020,11,21
STR084,Memphis Regular #84,Memphis,35.1495,-90.049,Regular,2023-09-17,2023,9,17
STR085,Denver Superstore #85,Denver,39.7392,-104.9903,Superstore,2019-03-23,2019,3,23
STR086,Baltimore Superstore #86,Baltimore,39.2904,-76.6122,Superstore,2017-08-08,2017,8,8
STR087,San Antonio Regular #87,San Antonio,29.4241,-98.4936,Regular,2024-08-09,2024,8,9
STR088,Denver Superstore #88,Denver,39.7392,-104.9903,Superstore,2020-03-19,2020,3,19
STR089,Memphis Superstore #89,Memphis,35.1495,-90.049,Superstore,2016-06-12,2016,6,12
STR090,Denver Express #90,Denver,39.7392,-104.9903,Express,2016-01-20,2016,1,20
STR091,Las Vegas Superstore #91,Las Vegas,36.1699,-115.1398,Superstore,2016-08-13,2016,8,13
STR092,New York Regular #92,New York,40.7128,-74.006,Regular,2021-04-11,2021,4,11
STR093,Los Angeles Regular #93,Los Angeles,34.0522,-118.2437,Regular,2022-10-04,2022,10,4
STR094,Philadelphia Superstore #94,Philadelphia,39.9526,-75.1652,Superstore,2019-06-06,2019,6,6
STR095,Houston Superstore #95,Houston,29.7604,-95.3698,Superstore,2016-03-14,2016,3,14
STR096,Memphis Superstore #96,Memphis,35.1495,-90.049,Superstore,2019-01-24,2019,1,24
STR097,Philadelphia Regular #97,Philadelphia,39.9526,-75.1652,Regular,2024-08-05,2024,8,5
STR098,Baltimore Express #98,Baltimore,39.2904,-76.6122,Express,2020-05-23,2020,5,23
STR099,Las Vegas Regular #99,Las Vegas,36.1699,-115.1398,Regular,2024-05-14,2024,5,14
STR100,Seattle Regular #100,Seattle,47.6062,-122.3321,Regular,2023-05-18,2023,5,18
STR101,Dallas Regular #101,Dallas,32.7767,-96.797,Regular,2015-09-25,2015,9,25
STR102,Philadelphia Regular #102,Philadelphia,39.9526,-75.1652,Regular,2022-02-12,2022,2,12
STR103,Chicago Regular #103,Chicago,41.8781,-87.6298,Regular,2021-10-06,2021,10,6
STR104,Houston Superstore #104,Houston,29.7604,-95.3698,Superstore,2020-06-18,2020,6,18
STR105,Chicago Regular #105,Chicago,41.8781,-87.6298,Regular,2018-01-12,2018,1,12
STR106,Baltimore Regular #106,Baltimore,39.2904,-76.6122,Regular,2021-05-25,2021,5,25
STR107,Baltimore Express #107,Baltimore,39.2904,-76.6122,Express,2016-08-19,2016,8,19
STR108,San Diego Regular #108,San Diego,32.7157,-117.1611,Regular,2019-07-18,2019,7,18
STR109,Boston Regular #109,Boston,42.3601,-71.0589,Regular,2019-09-18,2019,9,18
STR110,Austin Regular #110,Austin,30.2672,-97.7431,Regular,2024-03-19,2024,3,19
STR111,Louisville Superstore #111,Louisville,38.2527,-85.7585,Superstore,2023-07-06,2023,7,6
STR112,San Jose Superstore #112,San Jose,37.3382,-121.8863,Superstore,2017-12-31,2017,12,31
STR113,Seattle Regular #113,Seattle,47.6062,-122.3321,Regular,2020-02-19,2020,2,19
STR114,Louisville Regular #114,Louisville,38.2527,-85.7585,Regular,2017-03-28,2017,3,28
STR115,Denver Superstore #115,Denver,39.7392,-104.9903,Superstore,2023-11-04,2023,11,4
STR116,Seattle Express #116,Seattle,47.6062,-122.3321,Express,2023-06-19,2023,6,19
STR117,Phoenix Express #117,Phoenix,33.4484,-112.074,Express,2018-04-25,2018,4,25
STR118,Detroit Regular #118,Detroit,42.3314,-83.0458,Regular,2021-05-19,2021,5,19
STR119,Chicago Regular #119,Chicago,41.8781,-87.6298,Regular,2021-02-09,2021,2,9
STR120,Seattle Regular #120,Seattle,47.6062,-122.3321,Regular,2017-01-02,2017,1,2
STR121,Memphis Regular #121,Memphis,35.1495,-90.049,Regular,2022-06-29,2022,6,29
STR122,New York Regular #122,New York,40.7128,-74.006,Regular,2020-06-25,2020,6,25
STR123,Austin Express #123,Austin,30.2672,-97.7431,Express,2022-08-21,2022,8,21
STR124,Houston Regular #124,Houston,29.7604,-95.3698,Regular,2020-05-27,2020,5,27
STR125,Baltimore Regular #125,Baltimore,39.2904,-76.6122,Regular,2015-08-20,2015,8,20
STR126,Seattle Superstore #126,Seattle,47.6062,-122.3321,Superstore,2018-07-19,2018,7,19
STR127,Chicago Express #127,Chicago,41.8781,-87.6298,Express,2015-10-22,2015,10,22
STR128,Boston Superstore #128,Boston,42.3601,-71.0589,Superstore,2023-12-28,2023,12,28
STR129,Boston Regular #129,Boston,42.3601,-71.0589,Regular,2023-07-16,2023,7,16
STR130,Chicago Regular #130,Chicago,41.8781,-87.6298,Regular,2023-02-11,2023,2,11
STR131,Dallas Superstore #131,Dallas,32.7767,-96.797,Superstore,2018-05-25,2018,5,25
STR132,Houston Superstore #132,Houston,29.7604,-95.3698,Superstore,2016-02-25,2016,2,25
STR133,Portland Superstore #133,Portland,45.5152,-122.6784,Superstore,2023-07-14,2023,7,14
STR134,Memphis Regular #134,Memphis,35.1495,-90.049,Regular,2024-02-25,2024,2,25
STR135,San Antonio Regular #135,San Antonio,29.4241,-98.4936,Regular,2016-05-26,2016,5,26
STR136,New York Regular #136,New York,40.7128,-74.006,Regular,2020-01-02,2020,1,2
STR137,Nashville Regular #137,Nashville,36.1627,-86.7816,Regular,2016-04-02,2016,4,2
STR138,Las Vegas Superstore #138,Las Vegas,36.1699,-115.1398,Superstore,2022-06-23,2022,6,23
STR139,Philadelphia Express #139,Philadelphia,39.9526,-75.1652,Express,2022-07-10,2022,7,10
STR140,Nashville Regular #140,Nashville,36.1627,-86.7816,Regular,2016-10-14,2016,10,14
STR141,Los Angeles Regular #141,Los Angeles,34.0522,-118.2437,Regular,2019-11-28,2019,11,28
STR142,New York Regular #142,New York,40.7128,-74.006,Regular,2020-07-30,2020,7,30
STR143,New York Superstore #143,New York,40.7128,-74.006,Superstore,2018-01-06,2018,1,6
STR144,Seattle Superstore #144,Seattle,47.6062,-122.3321,Superstore,2023-06-25,2023,6,25
STR145,Chicago Regular #145,Chicago,41.8781,-87.6298,Regular,2019-06-09,2019,6,9
STR146,Denver Express #146,Denver,39.7392,-104.9903,Express,2017-07-15,2017,7,15
STR147,Columbus Express #147,Columbus,39.9612,-82.9988,Express,2020-06-25,2020,6,25
STR148,Chicago Regular #148,Chicago,41.8781,-87.6298,Regular,2022-03-14,2022,3,14
STR149,Phoenix Express #149,Phoenix,33.4484,-112.074,Express,2017-06-10,2017,6,10
STR150,Denver Regular #150,Denver,39.7392,-104.9903,Regular,2018-06-08,2018,6,8
