Store_Id,Department,Year_Month,Sales_Target,Sales_Actual,Sales_Variance,Sales_Target_Achievement_Pct,Customer_Satisfaction,Nps_Score,Waste_Percentage,On_Time_Delivery,Operational_Efficiency_Status
STR010,Fresh Produce,2022-01-01,38250,33756.08,-4493.919999999998,88.25,7.2,45.8,5.27,90.3,Low Efficiency
STR010,Meat/Fish & Bakery,2022-01-01,29750,35836.34,6086.3399999999965,120.46,10,85.1,4.64,93.4,High Efficiency
STR011,Store Operations,2022-01-01,275400,286135.76,10735.76000000001,103.9,8.3,37.1,1.59,90,High Efficiency
STR011,Fresh Produce,2022-01-01,68850,75228.69,6378.690000000002,109.26,8.7,67.7,2.04,96.5,High Efficiency
STR011,Meat/Fish & Bakery,2022-01-01,53550,55904.1,2354.0999999999985,104.4,6.8,53.7,3.78,95.4,High Efficiency
STR012,Store Operations,2022-01-01,275400,305742.24,30342.23999999999,111.02,6.5,9.6,1.62,90.6,High Efficiency
STR012,Fresh Produce,2022-01-01,68850,78799.27,9949.270000000004,114.45,7.9,60.6,2.37,99.7,High Efficiency
STR012,Meat/Fish & Bakery,2022-01-01,53550,42546.51,-11003.489999999998,79.45,6.7,37.7,3.71,93.3,Low Efficiency
STR013,Store Operations,2022-01-01,275400,275937.11,537.109999999986,100.2,9,65.1,0.79,100,High Efficiency
STR013,Fresh Produce,2022-01-01,68850,58904.46,-9945.54,85.55,8.5,60.2,2.71,93.6,Low Efficiency
STR013,Meat/Fish & Bakery,2022-01-01,53550,51755.04,-1794.9599999999991,96.65,8.2,61.4,4.87,93.8,Standard
STR014,Store Operations,2022-01-01,275400,256708.79,-18691.209999999992,93.21,8.3,71.2,0.98,93,Standard
STR014,Fresh Produce,2022-01-01,68850,71061.05,2211.050000000003,103.21,6.3,17.7,4.28,95.2,High Efficiency
STR014,Meat/Fish & Bakery,2022-01-01,53550,55405.14,1855.1399999999994,103.46,6.7,39.7,4.09,94.2,High Efficiency
STR015,Store Operations,2022-01-01,153000,177856.03,24856.03,116.25,8.6,40.4,1.71,91.2,High Efficiency
STR015,Fresh Produce,2022-01-01,38250,39996.78,1746.7799999999988,104.57,7.8,45.5,4.01,96.6,High Efficiency
STR015,Meat/Fish & Bakery,2022-01-01,29750,32297.6,2547.5999999999985,108.56,8.6,77,4.62,96,High Efficiency
STR016,Store Operations,2022-01-01,153000,126548.62,-26451.380000000005,82.71,6,12.5,0.55,91.4,Low Efficiency
STR016,Fresh Produce,2022-01-01,38250,51530.35,13280.349999999999,134.72,5.6,12.9,2.12,89.2,High Efficiency
STR016,Meat/Fish & Bakery,2022-01-01,29750,25764.45,-3985.5499999999993,86.6,7.2,56.7,2.26,94.4,Low Efficiency
STR017,Store Operations,2022-01-01,275400,245228.55,-30171.45000000001,89.04,7.7,45,1.31,92,Low Efficiency
STR017,Fresh Produce,2022-01-01,68850,82930.88,14080.880000000005,120.45,8.3,56.8,3.29,95.3,High Efficiency
STR017,Meat/Fish & Bakery,2022-01-01,53550,48234.2,-5315.800000000003,90.07,8.4,45.2,1.59,93.7,Standard
STR018,Store Operations,2022-01-01,153000,135286.75,-17713.25,88.42,9.2,68.2,0.88,93,Low Efficiency
STR018,Fresh Produce,2022-01-01,38250,48379.29,10129.29,126.48,7.9,29.2,5.82,96.8,Standard
STR018,Meat/Fish & Bakery,2022-01-01,29750,31433.68,1683.6800000000003,105.66,9.2,53.1,2.37,99.5,High Efficiency
STR019,Store Operations,2022-01-01,275400,327736.1,52336.09999999998,119,6.8,32.5,1.21,96.3,High Efficiency
STR019,Fresh Produce,2022-01-01,68850,68649.21,-200.7899999999936,99.71,6.6,1.9,3.74,93.7,Standard
STR019,Meat/Fish & Bakery,2022-01-01,53550,66662.34,13112.339999999997,124.49,6.1,4.8,2.81,94.4,High Efficiency
STR020,Store Operations,2022-01-01,119340,120387.37,1047.3699999999953,100.88,9.8,93,0.74,96.7,High Efficiency
STR020,Fresh Produce,2022-01-01,29835,30725.84,890.8400000000001,102.99,6.9,29,5.76,92.8,Standard
STR020,Meat/Fish & Bakery,2022-01-01,23205,16600.71,-6604.290000000001,71.54,8.8,56.4,3.41,100,Low Efficiency
STR021,Store Operations,2022-01-01,153000,149516.53,-3483.470000000001,97.72,8.1,56,0.61,92.1,Standard
STR021,Fresh Produce,2022-01-01,38250,43327.63,5077.629999999997,113.27,7,21.4,4.79,92.9,High Efficiency
STR021,Meat/Fish & Bakery,2022-01-01,29750,33764.46,4014.459999999999,113.49,7.8,58.3,2.49,95.9,High Efficiency
STR022,Store Operations,2022-01-01,275400,298192.26,22792.26000000001,108.28,6.8,-1,1.66,90.3,High Efficiency
STR022,Fresh Produce,2022-01-01,68850,74500.15,5650.149999999994,108.21,7.3,32.7,5,97.3,Standard
STR022,Meat/Fish & Bakery,2022-01-01,53550,50273.42,-3276.5800000000017,93.88,7.8,45.4,4.39,96.8,Standard
STR023,Store Operations,2022-01-01,198900,219246.07,20346.070000000007,110.23,7.2,38.7,1.93,93.6,High Efficiency
STR023,Fresh Produce,2022-01-01,49725,63988.5,14263.5,128.68,8.6,34.4,3.31,92.7,High Efficiency
STR023,Meat/Fish & Bakery,2022-01-01,38675,45393.49,6718.489999999998,117.37,8.3,65.2,1.82,95.9,High Efficiency
STR024,Store Operations,2022-01-01,153000,136954.59,-16045.410000000003,89.51,7.5,8.5,1.83,99.3,Low Efficiency
STR024,Fresh Produce,2022-01-01,38250,33513.71,-4736.290000000001,87.62,7.2,39.8,4.47,92.3,Low Efficiency
STR024,Meat/Fish & Bakery,2022-01-01,29750,27816.38,-1933.619999999999,93.5,7.7,52.5,1.78,96.6,Standard
STR025,Store Operations,2022-01-01,153000,119766.46,-33233.53999999999,78.28,6.1,1.1,1.67,93.4,Low Efficiency
STR025,Fresh Produce,2022-01-01,38250,26562.28,-11687.720000000001,69.44,9.1,66.9,3.87,94,Low Efficiency
STR025,Meat/Fish & Bakery,2022-01-01,29750,31190.13,1440.130000000001,104.84,6.7,31.2,4.87,98.6,High Efficiency
STR026,Store Operations,2022-01-01,275400,215681.85,-59718.149999999994,78.32,6.7,18,1.94,95.4,Low Efficiency
STR026,Fresh Produce,2022-01-01,68850,71164.32,2314.320000000007,103.36,7.5,41.7,5.88,91.7,Standard
STR026,Meat/Fish & Bakery,2022-01-01,53550,71830.05,18280.050000000003,134.14,7.9,41.6,3.7,99.6,High Efficiency
STR027,Store Operations,2022-01-01,275400,311435.57,36035.57000000001,113.08,7.7,76.5,0.92,91.6,High Efficiency
STR027,Fresh Produce,2022-01-01,68850,67221.11,-1628.8899999999994,97.63,6.1,28.4,2.31,88.6,Standard
STR027,Meat/Fish & Bakery,2022-01-01,53550,56295.15,2745.1500000000015,105.13,9.4,91.8,3.9,92.3,High Efficiency
STR028,Store Operations,2022-01-01,153000,170028.05,17028.04999999999,111.13,9,80,1.8,93.6,High Efficiency
STR028,Fresh Produce,2022-01-01,38250,45017.04,6767.040000000001,117.69,7,4.9,5.88,98.1,Standard
STR028,Meat/Fish & Bakery,2022-01-01,29750,30980.02,1230.0200000000004,104.13,7.8,8.8,2.46,91.3,High Efficiency
STR029,Store Operations,2022-01-01,275400,275616.62,216.61999999999534,100.08,7.5,34.2,1.18,95.9,High Efficiency
STR029,Fresh Produce,2022-01-01,68850,54715.89,-14134.11,79.47,8,66.6,3.43,98.6,Low Efficiency
STR029,Meat/Fish & Bakery,2022-01-01,53550,56219.31,2669.3099999999977,104.98,6.8,48.3,3.32,94.3,High Efficiency
STR030,Store Operations,2022-01-01,358020,367148.05,9128.049999999988,102.55,8.7,78.5,1.11,94.5,High Efficiency
STR030,Fresh Produce,2022-01-01,89505,98169.66,8664.660000000003,109.68,8.9,52.9,2.55,96.1,High Efficiency
STR030,Meat/Fish & Bakery,2022-01-01,69615,51540.79,-18074.21,74.04,8.9,82.2,2.72,93.6,Low Efficiency
STR031,Store Operations,2022-01-01,153000,187479.09,34479.09,122.54,7.6,65.9,1.79,89.9,High Efficiency
STR031,Fresh Produce,2022-01-01,38250,38165.55,-84.44999999999709,99.78,8.3,51.7,5.92,89,Standard
STR031,Meat/Fish & Bakery,2022-01-01,29750,20524.04,-9225.96,68.99,7.4,18.7,1.77,96,Low Efficiency
STR032,Store Operations,2022-01-01,198900,166044.15,-32855.850000000006,83.48,8,61,1.21,93.1,Low Efficiency
STR032,Fresh Produce,2022-01-01,49725,42372.72,-7352.279999999999,85.21,8,42.1,2.71,91.6,Low Efficiency
STR032,Meat/Fish & Bakery,2022-01-01,38675,30355.49,-8319.509999999998,78.49,7.3,37,3.92,87.2,Low Efficiency
STR033,Store Operations,2022-01-01,198900,178023.69,-20876.309999999998,89.5,7.7,42.6,1.71,93.3,Low Efficiency
STR033,Fresh Produce,2022-01-01,49725,44232.29,-5492.709999999999,88.95,8.1,43.4,3.94,90.3,Low Efficiency
STR033,Meat/Fish & Bakery,2022-01-01,38675,29885,-8790,77.27,8.9,92,1.63,93.3,Low Efficiency
STR034,Store Operations,2022-01-01,153000,172539.68,19539.679999999993,112.77,6.5,20.7,1.3,96.9,High Efficiency
STR034,Fresh Produce,2022-01-01,38250,37516.07,-733.9300000000003,98.08,6.5,-3.2,3.08,94.6,Standard
STR034,Meat/Fish & Bakery,2022-01-01,29750,28915.94,-834.0600000000013,97.2,7.5,23.1,2.65,92,Standard
STR035,Store Operations,2022-01-01,275400,345095.82,69695.82,125.31,8.4,57.5,0.63,98.4,High Efficiency
STR035,Fresh Produce,2022-01-01,68850,93370.89,24520.89,135.61,8.5,53.7,2.51,98.7,High Efficiency
STR035,Meat/Fish & Bakery,2022-01-01,53550,46516.6,-7033.4000000000015,86.87,6.1,26.2,2.75,99.7,Low Efficiency
STR036,Store Operations,2022-01-01,91800,92181.3,381.3000000000029,100.42,7.6,37.1,0.73,93.3,High Efficiency
STR036,Fresh Produce,2022-01-01,22950,20710.16,-2239.84,90.24,7,21.4,2.69,91.4,Standard
STR036,Meat/Fish & Bakery,2022-01-01,17850,11148.86,-6701.139999999999,62.46,8.2,59.5,4.53,93.7,Low Efficiency
STR037,Store Operations,2022-01-01,153000,139763.1,-13236.899999999994,91.35,8.3,62.6,1.89,91.1,Standard
STR037,Fresh Produce,2022-01-01,38250,49973.55,11723.550000000003,130.65,9.1,86.4,2.75,91.7,High Efficiency
STR037,Meat/Fish & Bakery,2022-01-01,29750,26343.96,-3406.040000000001,88.55,5.7,-20.5,1.9,94.1,Low Efficiency
STR038,Store Operations,2022-01-01,153000,118017.53,-34982.47,77.14,8.3,38.9,1.22,94.8,Low Efficiency
STR038,Fresh Produce,2022-01-01,38250,34510.09,-3739.9100000000035,90.22,7.5,28,2.25,92.8,Standard
STR038,Meat/Fish & Bakery,2022-01-01,29750,27063.71,-2686.290000000001,90.97,8.3,71.8,3.58,96.3,Standard
STR039,Store Operations,2022-01-01,153000,96275.76,-56724.240000000005,62.93,6.7,32.7,1.75,93.4,Low Efficiency
STR039,Fresh Produce,2022-01-01,38250,39223.82,973.8199999999997,102.55,7.6,49.1,5.37,98.7,Standard
STR039,Meat/Fish & Bakery,2022-01-01,29750,31256.55,1506.5499999999993,105.06,7.1,24.4,2.07,92.7,High Efficiency
STR040,Store Operations,2022-01-01,275400,297851.29,22451.28999999998,108.15,8.5,27.6,1.82,95.1,High Efficiency
STR040,Fresh Produce,2022-01-01,68850,81255.54,12405.539999999994,118.02,7.1,1.3,3.85,91,High Efficiency
STR040,Meat/Fish & Bakery,2022-01-01,53550,61996.92,8446.919999999998,115.77,6.7,-0.6,4.65,94,High Efficiency
STR041,Store Operations,2022-01-01,275400,309662.74,34262.73999999999,112.44,5.3,-0.7,0.68,96.3,High Efficiency
STR041,Fresh Produce,2022-01-01,68850,70556.04,1706.0399999999936,102.48,8.1,38.3,5.18,92.8,Standard
STR041,Meat/Fish & Bakery,2022-01-01,53550,58632.82,5082.82,109.49,9.8,88.1,2.03,94.7,High Efficiency
STR042,Store Operations,2022-01-01,91800,76771.55,-15028.449999999997,83.63,6.7,46.3,1.82,95.2,Low Efficiency
STR042,Fresh Produce,2022-01-01,22950,26521.73,3571.7299999999996,115.56,7,25.8,5.19,91.1,Standard
STR042,Meat/Fish & Bakery,2022-01-01,17850,16705.62,-1144.380000000001,93.59,6.9,43.4,3.74,96.9,Standard
STR043,Store Operations,2022-01-01,153000,162488.33,9488.329999999987,106.2,9.4,65.9,0.77,90.3,High Efficiency
STR043,Fresh Produce,2022-01-01,38250,39228.78,978.7799999999988,102.56,8.3,43.3,5.79,87,Standard
STR043,Meat/Fish & Bakery,2022-01-01,29750,30999.36,1249.3600000000006,104.2,6.4,54.2,1.56,94.4,High Efficiency
STR044,Store Operations,2022-01-01,275400,349021.18,73621.18,126.73,8.1,55.1,0.73,95.3,High Efficiency
STR044,Fresh Produce,2022-01-01,68850,88286.61,19436.61,128.23,8.8,90.8,5.74,92.5,Standard
STR044,Meat/Fish & Bakery,2022-01-01,53550,52825.25,-724.75,98.65,8.3,93.7,2.9,95.6,Standard
STR045,Store Operations,2022-01-01,275400,268872.69,-6527.309999999998,97.63,7.1,16.3,1.31,89,Standard
STR045,Fresh Produce,2022-01-01,68850,66475.92,-2374.0800000000017,96.55,8.1,71.6,3.81,91.5,Standard
STR045,Meat/Fish & Bakery,2022-01-01,53550,51464.83,-2085.1699999999983,96.11,6,6.3,3.24,93.2,Standard
STR046,Store Operations,2022-01-01,153000,171461.88,18461.880000000005,112.07,7.3,53.1,1.45,88.5,High Efficiency
STR046,Fresh Produce,2022-01-01,38250,36707.25,-1542.75,95.97,6.4,56.5,2.27,94.2,Standard
STR046,Meat/Fish & Bakery,2022-01-01,29750,26257.9,-3492.0999999999985,88.26,8.2,51.8,2.17,94.5,Low Efficiency
STR047,Store Operations,2022-01-01,198900,197922.81,-977.1900000000023,99.51,7,18.4,1.66,94.3,Standard
STR047,Fresh Produce,2022-01-01,49725,60082.09,10357.089999999997,120.83,4.8,-44.4,4.24,90.3,High Efficiency
STR047,Meat/Fish & Bakery,2022-01-01,38675,36686.98,-1988.0199999999968,94.86,7.1,11.5,3.75,91.7,Standard
STR048,Store Operations,2022-01-01,153000,144694.6,-8305.399999999994,94.57,7.4,45.9,1.49,91.7,Standard
STR048,Fresh Produce,2022-01-01,38250,42390.59,4140.5899999999965,110.83,6.4,9.6,4.61,95.5,High Efficiency
STR048,Meat/Fish & Bakery,2022-01-01,29750,28185.08,-1564.9199999999983,94.74,7.3,47.6,4.49,91.2,Standard
STR049,Store Operations,2022-01-01,91800,86829.5,-4970.5,94.59,8.7,47,0.94,95.8,Standard
STR049,Fresh Produce,2022-01-01,22950,17201.79,-5748.209999999999,74.95,9.3,56.7,3.52,91.6,Low Efficiency
STR049,Meat/Fish & Bakery,2022-01-01,17850,13682.13,-4167.870000000001,76.65,8.1,32.9,3.43,99.3,Low Efficiency
STR050,Store Operations,2022-01-01,153000,112757.88,-40242.119999999995,73.7,7,43.7,1.7,93.9,Low Efficiency
STR050,Fresh Produce,2022-01-01,38250,36163.77,-2086.230000000003,94.55,7.4,43.5,4.53,88.9,Standard
STR050,Meat/Fish & Bakery,2022-01-01,29750,26970.51,-2779.4900000000016,90.66,7.1,12.3,2.45,94.3,Standard
STR051,Store Operations,2022-01-01,358020,368537.48,10517.479999999981,102.94,6.5,26.6,1.48,88.9,High Efficiency
STR051,Fresh Produce,2022-01-01,89505,83206.34,-6298.6600000000035,92.96,8,74.8,4.66,98.7,Standard
STR051,Meat/Fish & Bakery,2022-01-01,69615,50392.13,-19222.870000000003,72.39,6.2,5,2.08,94.1,Low Efficiency
STR052,Store Operations,2022-01-01,153000,145013.1,-7986.899999999994,94.78,7.7,22.5,1.08,95.7,Standard
STR052,Fresh Produce,2022-01-01,38250,32952.95,-5297.050000000003,86.15,6.1,-1.7,4.27,97.2,Low Efficiency
STR052,Meat/Fish & Bakery,2022-01-01,29750,39037.87,9287.870000000003,131.22,7.2,35.3,2.25,94.5,High Efficiency
STR053,Store Operations,2022-01-01,153000,139789.11,-13210.890000000014,91.37,7.6,80.8,1,93.7,Standard
STR053,Fresh Produce,2022-01-01,38250,36229.41,-2020.5899999999965,94.72,7.7,47.5,3.98,93,Standard
STR053,Meat/Fish & Bakery,2022-01-01,29750,26952.16,-2797.84,90.6,9.3,86.9,4.3,92.3,Standard
STR054,Store Operations,2022-01-01,153000,128035.43,-24964.570000000007,83.68,8.4,32.1,0.64,97.4,Low Efficiency
STR054,Fresh Produce,2022-01-01,38250,37822.94,-427.0599999999977,98.88,8.1,55.1,5.49,90,Standard
STR054,Meat/Fish & Bakery,2022-01-01,29750,33394.52,3644.519999999997,112.25,8.1,71.7,4.47,97.2,High Efficiency
STR055,Store Operations,2022-01-01,198900,196806.61,-2093.390000000014,98.95,5.8,13.2,0.77,94.6,Standard
STR055,Fresh Produce,2022-01-01,49725,55829.87,6104.870000000003,112.28,7.6,49.4,5.88,93.4,Standard
STR055,Meat/Fish & Bakery,2022-01-01,38675,38445.53,-229.47000000000116,99.41,8.2,54.1,2.62,94.1,Standard
STR056,Store Operations,2022-01-01,119340,94186.23,-25153.770000000004,78.92,8,34.4,1.59,97.8,Low Efficiency
STR056,Fresh Produce,2022-01-01,29835,28998.7,-836.2999999999993,97.2,7.1,52.9,3.28,94.6,Standard
STR056,Meat/Fish & Bakery,2022-01-01,23205,26225.47,3020.470000000001,113.02,7.8,25.4,1.59,95.8,High Efficiency
STR057,Store Operations,2022-01-01,198900,201354.94,2454.9400000000023,101.23,8.6,53.6,1.22,98.2,High Efficiency
STR057,Fresh Produce,2022-01-01,49725,56585.76,6860.760000000002,113.8,7.8,21,4.95,88.7,High Efficiency
STR057,Meat/Fish & Bakery,2022-01-01,38675,36237.39,-2437.6100000000006,93.7,7.2,14.2,2.54,91.2,Standard
STR058,Store Operations,2022-01-01,153000,108622.08,-44377.92,70.99,6.3,-0.2,1.92,96,Low Efficiency
STR058,Fresh Produce,2022-01-01,38250,43897.55,5647.550000000003,114.76,7.3,35,4.45,96,High Efficiency
STR058,Meat/Fish & Bakery,2022-01-01,29750,34958.2,5208.199999999997,117.51,9.1,48.9,2.12,94.2,High Efficiency
STR059,Store Operations,2022-01-01,275400,249658.06,-25741.940000000002,90.65,6.9,19.3,0.59,97.6,Standard
STR059,Fresh Produce,2022-01-01,68850,64993.72,-3856.279999999999,94.4,6.3,28.5,2.62,97.1,Standard
STR059,Meat/Fish & Bakery,2022-01-01,53550,49114.27,-4435.730000000003,91.72,8.1,55.7,3.58,89.5,Standard
STR060,Store Operations,2022-01-01,153000,133719.47,-19280.53,87.4,7.7,37.9,0.69,95.8,Low Efficiency
STR060,Fresh Produce,2022-01-01,38250,39890.15,1640.1500000000015,104.29,7.8,56.6,2.35,100,High Efficiency
STR060,Meat/Fish & Bakery,2022-01-01,29750,21947.11,-7802.889999999999,73.77,6.2,28.1,3.24,91.1,Low Efficiency
STR061,Store Operations,2022-01-01,153000,141120.82,-11879.179999999993,92.24,7.7,44.2,1.22,97.6,Standard
STR061,Fresh Produce,2022-01-01,38250,45167.29,6917.290000000001,118.08,7.8,66.7,4.26,90.6,High Efficiency
STR061,Meat/Fish & Bakery,2022-01-01,29750,32355.78,2605.779999999999,108.76,7.1,41.7,4.48,97.3,High Efficiency
STR062,Store Operations,2022-01-01,275400,292156.06,16756.059999999998,106.08,8.2,61.8,1.52,96.6,High Efficiency
STR062,Fresh Produce,2022-01-01,68850,83124.25,14274.25,120.73,8.1,50.5,3.34,94.4,High Efficiency
STR062,Meat/Fish & Bakery,2022-01-01,53550,48011.27,-5538.730000000003,89.66,8,56.2,3.28,95.2,Low Efficiency
STR063,Store Operations,2022-01-01,153000,157385.72,4385.720000000001,102.87,7.5,20.5,1.45,96.2,High Efficiency
STR063,Fresh Produce,2022-01-01,38250,46828.33,8578.330000000002,122.43,7.7,48.3,4.17,92.8,High Efficiency
STR063,Meat/Fish & Bakery,2022-01-01,29750,29324.74,-425.2599999999984,98.57,7.8,54.7,1.86,94.6,Standard
STR064,Store Operations,2022-01-01,119340,122482.45,3142.449999999997,102.63,7.9,45.4,1.56,92.8,High Efficiency
STR064,Fresh Produce,2022-01-01,29835,30430.07,595.0699999999997,101.99,6.8,43.9,2.18,89.4,High Efficiency
STR064,Meat/Fish & Bakery,2022-01-01,23205,24482.79,1277.7900000000009,105.51,7,27.5,4.2,87.9,High Efficiency
STR065,Store Operations,2022-01-01,153000,140258.17,-12741.829999999987,91.67,9.4,55.9,0.75,87.4,Standard
STR065,Fresh Produce,2022-01-01,38250,41971.55,3721.550000000003,109.73,8.5,76.6,3.09,97.9,High Efficiency
STR065,Meat/Fish & Bakery,2022-01-01,29750,32651.52,2901.5200000000004,109.75,7.4,65.7,2.89,90.8,High Efficiency
STR066,Store Operations,2022-01-01,153000,173606.54,20606.540000000008,113.47,7.3,25.2,0.55,92,High Efficiency
STR066,Fresh Produce,2022-01-01,38250,31069.29,-7180.709999999999,81.23,8.9,67.6,5.87,97.4,Low Efficiency
STR066,Meat/Fish & Bakery,2022-01-01,29750,30953.4,1203.4000000000015,104.05,7.3,46,4.46,96.2,High Efficiency
STR067,Store Operations,2022-01-01,119340,130845.38,11505.380000000005,109.64,8.8,69.5,1.69,96.1,High Efficiency
STR067,Fresh Produce,2022-01-01,29835,25222.28,-4612.720000000001,84.54,7.5,44.6,3.72,91.7,Low Efficiency
STR067,Meat/Fish & Bakery,2022-01-01,23205,23065.22,-139.77999999999884,99.4,6.1,13.3,2.44,92,Standard
STR068,Store Operations,2022-01-01,275400,249184.47,-26215.53,90.48,8.5,55.8,0.61,93.9,Standard
STR068,Fresh Produce,2022-01-01,68850,64178.81,-4671.190000000002,93.22,5.1,-32.2,4.78,96.3,Standard
STR068,Meat/Fish & Bakery,2022-01-01,53550,56539.15,2989.1500000000015,105.58,8,49.2,1.87,92.3,High Efficiency
STR069,Store Operations,2022-01-01,153000,152917.32,-82.67999999999302,99.95,6.3,39.4,1.34,96.6,Standard
STR069,Fresh Produce,2022-01-01,38250,33222.12,-5027.879999999997,86.86,7.5,36.7,2.31,93.7,Low Efficiency
STR069,Meat/Fish & Bakery,2022-01-01,29750,25280.27,-4469.73,84.98,7.2,61.3,4.3,95.9,Low Efficiency
STR070,Store Operations,2022-01-01,153000,141675.03,-11324.970000000001,92.6,7.1,35.2,1.56,91.6,Standard
STR070,Fresh Produce,2022-01-01,38250,38592.13,342.1299999999974,100.89,6.9,37.5,4.86,95.2,High Efficiency
STR070,Meat/Fish & Bakery,2022-01-01,29750,27164.15,-2585.8499999999985,91.31,8.6,63.5,4.36,96.9,Standard
STR071,Store Operations,2022-01-01,275400,361129.03,85729.03000000003,131.13,6.8,52.3,0.62,94.6,High Efficiency
STR071,Fresh Produce,2022-01-01,68850,58196.4,-10653.599999999999,84.53,7,38.7,3.99,97.4,Low Efficiency
STR071,Meat/Fish & Bakery,2022-01-01,53550,67426.49,13876.490000000005,125.91,7.9,49.3,2.2,94.4,High Efficiency
STR072,Store Operations,2022-01-01,275400,254651.82,-20748.179999999993,92.47,7.7,60.6,1.59,93.7,Standard
STR072,Fresh Produce,2022-01-01,68850,63859.89,-4990.110000000001,92.75,9.1,53.1,5.95,89.6,Standard
STR072,Meat/Fish & Bakery,2022-01-01,53550,41004.79,-12545.21,76.57,9.5,78.5,4.56,99.3,Low Efficiency
STR073,Store Operations,2022-01-01,153000,149038.2,-3961.7999999999884,97.41,8.4,67.5,1.87,89.3,Standard
STR073,Fresh Produce,2022-01-01,38250,41307.28,3057.279999999999,107.99,6.2,35.6,2.53,96.3,High Efficiency
STR073,Meat/Fish & Bakery,2022-01-01,29750,31954.61,2204.6100000000006,107.41,7.8,37,4.9,92,High Efficiency
STR074,Store Operations,2022-01-01,153000,160431.21,7431.209999999992,104.86,7.2,9.4,1.81,93.8,High Efficiency
STR074,Fresh Produce,2022-01-01,38250,42677.62,4427.620000000003,111.58,4.7,0.3,2.65,88.8,High Efficiency
STR074,Meat/Fish & Bakery,2022-01-01,29750,31420.22,1670.2200000000012,105.61,7.4,50.4,2.64,90.3,High Efficiency
STR075,Store Operations,2022-01-01,91800,85359.75,-6440.25,92.98,7.8,46.2,0.85,95.4,Standard
