Store_Id,Store_Name,City,Store_Type,Opening_Date
STR038,Boston Regular #38,Boston,Regular,2021-03-13
STR039,Memphis Regular #39,Memphis,Regular,2023-05-21
STR040,Fort Worth Superstore #40,Fort Worth,Superstore,2020-10-28
STR041,Charlotte Superstore #41,Charlotte,Superstore,2021-12-20
STR042,Louisville Express #42,Louisville,Express,2016-01-16
STR043,Memphis Regular #43,Memphis,Regular,2017-09-06
STR044,San Diego Superstore #44,San Diego,Superstore,2018-03-27
STR045,Austin Superstore #45,Austin,Superstore,2016-05-07
STR046,San Diego Regular #46,San Diego,Regular,2017-09-22
STR047,New York Regular #47,New York,Regular,2016-07-15
STR048,San Jose Regular #48,San Jose,Regular,2018-02-17
STR049,Dallas Express #49,Dallas,Express,2021-05-08
STR050,Dallas Regular #50,Dallas,Regular,2018-11-30
STR051,Los Angeles Superstore #51,Los Angeles,Superstore,2018-12-17
STR052,Detroit Regular #52,Detroit,Regular,2017-07-07
STR053,Memphis Regular #53,Memphis,Regular,2018-01-12
STR054,Jacksonville Regular #54,Jacksonville,Regular,2024-01-22
STR055,Chicago Regular #55,Chicago,Regular,2021-06-18
STR056,Phoenix Express #56,Phoenix,Express,2021-02-10
STR057,Chicago Regular #57,Chicago,Regular,2017-03-03
STR058,Detroit Regular #58,Detroit,Regular,2022-03-11
STR059,San Antonio Superstore #59,San Antonio,Superstore,2017-02-06
STR060,Charlotte Regular #60,Charlotte,Regular,2019-01-17
STR061,San Jose Regular #61,San Jose,Regular,2024-07-14
STR062,Nashville Superstore #62,Nashville,Superstore,2021-05-22
STR063,San Antonio Regular #63,San Antonio,Regular,2020-08-22
STR064,Houston Express #64,Houston,Express,2021-10-16
STR065,Detroit Regular #65,Detroit,Regular,2023-03-20
STR066,Charlotte Regular #66,Charlotte,Regular,2022-08-12
STR067,Houston Express #67,Houston,Express,2017-09-09
STR068,San Antonio Superstore #68,San Antonio,Superstore,2015-12-02
STR069,Las Vegas Regular #69,Las Vegas,Regular,2018-06-20
STR070,San Jose Regular #70,San Jose,Regular,2018-01-15
STR071,Louisville Superstore #71,Louisville,Superstore,2017-07-12
STR072,Jacksonville Superstore #72,Jacksonville,Superstore,2024-02-12
STR073,Austin Regular #73,Austin,Regular,2023-07-08
STR074,Detroit Regular #74,Detroit,Regular,2018-06-18
STR075,San Antonio Express #75,San Antonio,Express,2021-07-12
STR076,New York Superstore #76,New York,Superstore,2019-03-11
STR077,Louisville Regular #77,Louisville,Regular,2023-11-11
STR078,Dallas Regular #78,Dallas,Regular,2019-10-05
STR079,Philadelphia Regular #79,Philadelphia,Regular,2018-01-05
STR080,Dallas Regular #80,Dallas,Regular,2017-11-06
STR081,New York Superstore #81,New York,Superstore,2020-09-06
STR082,Jacksonville Superstore #82,Jacksonville,Superstore,2017-12-29
STR083,Las Vegas Superstore #83,Las Vegas,Superstore,2020-11-21
STR084,Memphis Regular #84,Memphis,Regular,2023-09-17
STR085,Denver Superstore #85,Denver,Superstore,2019-03-23
STR086,Baltimore Superstore #86,Baltimore,Superstore,2017-08-08
STR087,San Antonio Regular #87,San Antonio,Regular,2024-08-09
STR088,Denver Superstore #88,Denver,Superstore,2020-03-19
STR089,Memphis Superstore #89,Memphis,Superstore,2016-06-12
STR090,Denver Express #90,Denver,Express,2016-01-20
STR091,Las Vegas Superstore #91,Las Vegas,Superstore,2016-08-13
STR092,New York Regular #92,New York,Regular,2021-04-11
STR093,Los Angeles Regular #93,Los Angeles,Regular,2022-10-04
STR094,Philadelphia Superstore #94,Philadelphia,Superstore,2019-06-06
STR095,Houston Superstore #95,Houston,Superstore,2016-03-14
STR096,Memphis Superstore #96,Memphis,Superstore,2019-01-24
STR097,Philadelphia Regular #97,Philadelphia,Regular,2024-08-05
STR098,Baltimore Express #98,Baltimore,Express,2020-05-23
STR099,Las Vegas Regular #99,Las Vegas,Regular,2024-05-14
STR100,Seattle Regular #100,Seattle,Regular,2023-05-18
STR101,Dallas Regular #101,Dallas,Regular,2015-09-25
STR102,Philadelphia Regular #102,Philadelphia,Regular,2022-02-12
STR103,Chicago Regular #103,Chicago,Regular,2021-10-06
STR104,Houston Superstore #104,Houston,Superstore,2020-06-18
STR105,Chicago Regular #105,Chicago,Regular,2018-01-12
STR106,Baltimore Regular #106,Baltimore,Regular,2021-05-25
STR107,Baltimore Express #107,Baltimore,Express,2016-08-19
STR108,San Diego Regular #108,San Diego,Regular,2019-07-18
STR109,Boston Regular #109,Boston,Regular,2019-09-18
STR110,Austin Regular #110,Austin,Regular,2024-03-19
STR111,Louisville Superstore #111,Louisville,Superstore,2023-07-06
STR112,San Jose Superstore #112,San Jose,Superstore,2017-12-31
STR113,Seattle Regular #113,Seattle,Regular,2020-02-19
STR114,Louisville Regular #114,Louisville,Regular,2017-03-28
STR115,Denver Superstore #115,Denver,Superstore,2023-11-04
STR116,Seattle Express #116,Seattle,Express,2023-06-19
STR117,Phoenix Express #117,Phoenix,Express,2018-04-25
STR118,Detroit Regular #118,Detroit,Regular,2021-05-19
STR119,Chicago Regular #119,Chicago,Regular,2021-02-09
STR120,Seattle Regular #120,Seattle,Regular,2017-01-02
STR121,Memphis Regular #121,Memphis,Regular,2022-06-29
STR122,New York Regular #122,New York,Regular,2020-06-25
STR123,Austin Express #123,Austin,Express,2022-08-21
STR124,Houston Regular #124,Houston,Regular,2020-05-27
STR125,Baltimore Regular #125,Baltimore,Regular,2015-08-20
STR126,Seattle Superstore #126,Seattle,Superstore,2018-07-19
STR127,Chicago Express #127,Chicago,Express,2015-10-22
STR128,Boston Superstore #128,Boston,Superstore,2023-12-28
STR129,Boston Regular #129,Boston,Regular,2023-07-16
STR130,Chicago Regular #130,Chicago,Regular,2023-02-11
STR131,Dallas Superstore #131,Dallas,Superstore,2018-05-25
STR132,Houston Superstore #132,Houston,Superstore,2016-02-25
STR133,Portland Superstore #133,Portland,Superstore,2023-07-14
STR134,Memphis Regular #134,Memphis,Regular,2024-02-25
STR135,San Antonio Regular #135,San Antonio,Regular,2016-05-26
STR136,New York Regular #136,New York,Regular,2020-01-02
STR137,Nashville Regular #137,Nashville,Regular,2016-04-02
STR138,Las Vegas Superstore #138,Las Vegas,Superstore,2022-06-23
STR139,Philadelphia Express #139,Philadelphia,Express,2022-07-10
STR140,Nashville Regular #140,Nashville,Regular,2016-10-14
STR141,Los Angeles Regular #141,Los Angeles,Regular,2019-11-28
STR142,New York Regular #142,New York,Regular,2020-07-30
STR143,New York Superstore #143,New York,Superstore,2018-01-06
STR144,Seattle Superstore #144,Seattle,Superstore,2023-06-25
STR145,Chicago Regular #145,Chicago,Regular,2019-06-09
STR146,Denver Express #146,Denver,Express,2017-07-15
STR147,Columbus Express #147,Columbus,Express,2020-06-25
STR148,Chicago Regular #148,Chicago,Regular,2022-03-14
STR149,Phoenix Express #149,Phoenix,Express,2017-06-10
STR150,Denver Regular #150,Denver,Regular,2018-06-08
